index	column	row
1	685	976
2	719	979
3	940	1014
4	1120	1103
5	1201	1085
6	673	980
7	753	1068
8	1138	1051
9	905	1022
10	998	1082
11	1141	1069
12	727	1087
13	880	984
14	1167	1092
15	916	1045
16	984	1000
17	747	1081
18	936	1037
19	938	1047
20	950	1013
21	948	998
22	873	1043
23	892	1035
24	1265	1134
25	1163	1070
26	946	1004
27	943	994
28	908	1060
29	937	1009
30	959	969
31	1153	1058
32	1136	1001
33	940	991
34	768	1092
35	962	1007
36	947	1006
37	922	1036
38	933	1016
39	756	914
40	948	999
41	1132	1070
42	1127	1070
43	1159	1071
44	787	1096
45	908	1024
46	1158	983
47	1160	1079
48	936	1005
49	561	1158
50	940	1026
51	953	1005
52	711	1075
53	938	1022
54	955	1005
55	935	1004
56	934	1002
57	939	1020
58	954	981
59	778	936
60	890	1011
61	1140	1074
62	1124	1044
63	1153	1062
64	957	1021
65	737	1071
66	934	1025
67	728	1069
68	960	1030
69	923	1033
70	740	1075
71	1171	1056
72	887	993
73	724	1064
74	941	1004
75	1162	1040
76	951	1002
77	756	918
78	1136	1078
79	744	1114
80	929	1012
81	1218	1119
82	1155	1079
83	957	1021
84	718	1090
85	1148	939
86	771	1040
87	999	1018
88	715	1103
89	950	1013
90	1133	1086
91	933	1026
92	1148	1076
93	1161	1146
94	919	1004
95	1143	1071
96	1164	1069
97	975	1192
98	943	1045
99	929	1012
100	1140	1072
